participant_id,group,score
1,Treatment,18
2,Treatment,22
3,Treatment,19
4,Treatment,21
5,Treatment,20
6,Treatment,23
7,Treatment,17
8,Treatment,19
9,Treatment,22
10,Treatment,20
11,Treatment,18
12,Treatment,21
13,Treatment,19
14,Treatment,20
15,Treatment,22
16,Treatment,21
17,Treatment,19
18,Treatment,23
19,Treatment,20
20,Treatment,18
21,Treatment,21
22,Treatment,22
23,Treatment,19
24,Treatment,20
25,Treatment,95
26,Control,24
27,Control,26
28,Control,25
29,Control,28
30,Control,23
31,Control,27
32,Control,24
33,Control,26
34,Control,25
35,Control,24
36,Control,28
37,Control,27
38,Control,25
39,Control,26
40,Control,24
41,Control,27
42,Control,25
43,Control,26
44,Control,28
45,Control,24
46,Control,25
47,Control,27
48,Control,26
49,Control,25
50,Control,24
