student_id,study_hours_per_week,final_grade,previous_gpa,motivation_score
1,5,62,2.8,45
2,8,71,3.0,52
3,12,78,3.2,61
4,3,55,2.5,38
5,15,85,3.4,68
6,10,75,3.1,58
7,7,68,2.9,50
8,20,92,3.6,75
9,6,65,2.7,47
10,14,82,3.3,65
11,9,72,3.0,55
12,4,58,2.6,41
13,18,89,3.5,72
14,11,76,3.2,59
15,2,52,2.4,35
16,16,86,3.4,69
17,13,80,3.3,63
18,8,70,2.9,51
19,22,95,3.7,78
20,7,67,2.8,49
21,17,87,3.5,70
22,10,74,3.1,57
23,5,61,2.7,44
24,19,91,3.6,74
25,12,77,3.2,60
26,6,64,2.8,46
27,14,81,3.3,64
28,9,71,3.0,54
29,21,93,3.7,76
30,11,75,3.1,58
31,4,57,2.5,40
32,15,84,3.4,67
33,8,69,2.9,51
34,18,88,3.5,71
35,3,54,2.4,37
36,13,79,3.2,62
37,16,85,3.4,68
38,7,66,2.8,48
39,20,90,3.6,73
40,10,73,3.0,56
