id,treatment,outcome,covariate1_age,covariate2_income,covariate3_education,covariate4_health_score
1,1,85,42,65000,16,78
2,1,82,38,72000,18,82
3,1,88,45,68000,14,75
4,1,79,35,80000,20,85
5,1,84,41,70000,16,79
6,1,87,44,66000,15,76
7,1,81,37,75000,18,83
8,1,86,43,69000,14,77
9,1,83,40,71000,17,80
10,1,89,46,64000,13,74
11,1,80,36,78000,19,84
12,1,85,42,67000,15,78
13,1,82,39,73000,17,81
14,1,87,44,65000,14,76
15,1,84,41,70000,16,79
16,1,78,34,82000,21,86
17,1,86,43,68000,15,77
18,1,83,40,74000,18,80
19,1,88,45,63000,13,75
20,1,81,38,76000,19,82
21,0,68,52,48000,12,62
22,0,72,48,55000,14,68
23,0,65,56,42000,10,58
24,0,70,50,52000,13,65
25,0,67,54,45000,11,60
26,0,73,47,58000,15,70
27,0,64,58,40000,10,56
28,0,71,49,54000,14,67
29,0,66,55,43000,11,59
30,0,74,46,60000,16,72
31,0,69,51,50000,12,64
32,0,63,59,38000,9,55
33,0,72,48,56000,14,69
34,0,67,53,46000,11,61
35,0,75,45,62000,16,73
36,0,70,50,51000,13,66
37,0,65,57,41000,10,57
38,0,73,47,57000,15,71
39,0,68,52,47000,12,63
40,0,71,49,53000,13,68
