student_id,classroom_id,teacher_id,school_id,math_score,reading_score,ses_index,gender,prior_achievement
1,1,1,1,78,82,0.5,F,75
2,1,1,1,82,79,0.8,M,78
3,1,1,1,75,85,0.3,F,72
4,1,1,1,80,81,0.6,M,77
5,1,1,1,77,83,0.4,F,74
6,2,1,1,81,78,0.7,M,79
7,2,1,1,76,84,0.2,F,73
8,2,1,1,83,80,0.9,M,80
9,2,1,1,79,82,0.5,F,76
10,2,1,1,84,77,1.0,M,81
11,3,2,1,72,76,0.1,F,69
12,3,2,1,76,73,0.4,M,73
13,3,2,1,69,79,-.2,F,66
14,3,2,1,74,75,0.3,M,71
15,3,2,1,71,77,0.0,F,68
16,4,2,1,75,74,0.5,M,72
17,4,2,1,70,78,-.1,F,67
18,4,2,1,77,72,0.6,M,74
19,4,2,1,73,76,0.2,F,70
20,4,2,1,78,71,0.7,M,75
21,5,3,2,85,88,1.2,F,82
22,5,3,2,89,85,1.5,M,86
23,5,3,2,82,91,0.9,F,79
24,5,3,2,87,87,1.3,M,84
25,5,3,2,84,89,1.0,F,81
26,6,3,2,88,86,1.4,M,85
27,6,3,2,83,90,0.8,F,80
28,6,3,2,90,84,1.6,M,87
29,6,3,2,86,88,1.1,F,83
30,6,3,2,91,83,1.7,M,88
31,7,4,2,65,69,-0.5,F,62
32,7,4,2,69,66,-0.2,M,66
33,7,4,2,62,72,-0.8,F,59
34,7,4,2,67,68,-0.3,M,64
35,7,4,2,64,70,-0.6,F,61
36,8,4,2,68,67,-0.1,M,65
37,8,4,2,63,71,-0.7,F,60
38,8,4,2,70,65,0.0,M,67
39,8,4,2,66,69,-0.4,F,63
40,8,4,2,71,64,0.1,M,68
