participant_id,group,score
1,Treatment,20
2,Treatment,22
3,Treatment,19
4,Treatment,21
5,Treatment,20
6,Treatment,23
7,Treatment,18
8,Treatment,21
9,Treatment,22
10,Treatment,20
11,Treatment,19
12,Treatment,21
13,Treatment,20
14,Treatment,22
15,Treatment,150
16,Treatment,21
17,Treatment,19
18,Treatment,20
19,Treatment,22
20,Treatment,-50
21,Control,30
22,Control,32
23,Control,29
24,Control,31
25,Control,30
26,Control,33
27,Control,28
28,Control,31
29,Control,32
30,Control,30
31,Control,29
32,Control,31
33,Control,30
34,Control,32
35,Control,31
36,Control,29
37,Control,30
38,Control,32
39,Control,31
40,Control,30
