participant_id,group,score
1,LowVar,50
2,LowVar,51
3,LowVar,49
4,LowVar,52
5,LowVar,50
6,LowVar,51
7,LowVar,49
8,LowVar,50
9,LowVar,51
10,LowVar,50
11,LowVar,52
12,LowVar,49
13,LowVar,51
14,LowVar,50
15,LowVar,50
16,LowVar,51
17,LowVar,49
18,LowVar,52
19,LowVar,50
20,LowVar,51
21,HighVar,45
22,HighVar,65
23,HighVar,35
24,HighVar,70
25,HighVar,40
26,HighVar,60
27,HighVar,30
28,HighVar,75
29,HighVar,38
30,HighVar,62
31,HighVar,42
32,HighVar,58
33,HighVar,33
34,HighVar,68
35,HighVar,48
36,HighVar,55
37,HighVar,28
38,HighVar,72
39,HighVar,52
40,HighVar,50
