participant_id,condition,reaction_time_ms,accuracy_pct,arousal_rating,valence_rating,age,gender,handedness,caffeine_today,sleep_hours,trial_block
S001,Congruent,342,96.5,4.2,6.1,22,F,R,1,7.5,1
S001,Incongruent,428,89.2,5.8,4.3,22,F,R,1,7.5,2
S002,Congruent,356,94.8,3.9,6.4,24,M,R,0,8.0,1
S002,Incongruent,445,87.5,6.1,4.0,24,M,R,0,8.0,2
S003,Congruent,338,97.2,4.0,6.2,21,F,R,1,7.0,1
S003,Incongruent,412,90.8,5.5,4.5,21,F,R,1,7.0,2
S004,Congruent,365,93.5,4.5,5.8,26,M,L,0,6.5,1
S004,Incongruent,458,85.2,6.4,3.8,26,M,L,0,6.5,2
S005,Congruent,348,95.8,3.8,6.5,23,F,R,1,8.5,1
S005,Incongruent,425,88.5,5.9,4.2,23,F,R,1,8.5,2
S006,Congruent,358,94.2,4.3,6.0,25,M,R,0,7.0,1
S006,Incongruent,442,86.8,6.0,4.1,25,M,R,0,7.0,2
S007,Congruent,335,97.5,3.7,6.6,20,F,R,1,8.0,1
S007,Incongruent,408,91.2,5.4,4.6,20,F,R,1,8.0,2
S008,Congruent,372,92.8,4.6,5.7,28,M,R,0,6.0,1
S008,Incongruent,465,84.5,6.5,3.6,28,M,R,0,6.0,2
S009,Congruent,345,96.0,4.0,6.3,22,F,R,1,7.5,1
S009,Incongruent,420,89.5,5.7,4.4,22,F,R,1,7.5,2
S010,Congruent,362,94.5,4.4,5.9,27,M,L,0,7.0,1
S010,Incongruent,452,86.0,6.2,3.9,27,M,L,0,7.0,2
S011,Congruent,340,96.8,3.9,6.4,21,F,R,1,8.0,1
S011,Incongruent,415,90.0,5.6,4.4,21,F,R,1,8.0,2
S012,Congruent,368,93.8,4.5,5.8,26,M,R,0,6.5,1
S012,Incongruent,455,85.5,6.3,3.7,26,M,R,0,6.5,2
S013,Congruent,352,95.2,4.1,6.2,24,F,R,1,7.5,1
S013,Incongruent,432,88.0,5.9,4.1,24,F,R,1,7.5,2
S014,Congruent,378,92.0,4.7,5.6,29,M,R,0,5.5,1
S014,Incongruent,472,83.8,6.6,3.5,29,M,R,0,5.5,2
S015,Congruent,342,96.5,3.8,6.5,22,F,R,1,8.0,1
S015,Incongruent,418,89.8,5.5,4.5,22,F,R,1,8.0,2
S016,Congruent,360,94.0,4.4,6.0,25,M,R,0,7.0,1
S016,Incongruent,448,86.2,6.1,4.0,25,M,R,0,7.0,2
S017,Congruent,338,97.0,3.9,6.4,20,F,R,1,8.5,1
S017,Incongruent,410,91.0,5.4,4.6,20,F,R,1,8.5,2
S018,Congruent,375,93.0,4.6,5.7,28,M,L,0,6.0,1
S018,Incongruent,462,84.8,6.4,3.6,28,M,L,0,6.0,2
S019,Congruent,348,95.5,4.0,6.3,23,F,R,1,7.5,1
S019,Incongruent,428,88.8,5.8,4.3,23,F,R,1,7.5,2
S020,Congruent,365,93.5,4.5,5.8,27,M,R,0,6.5,1
S020,Incongruent,458,85.0,6.3,3.8,27,M,R,0,6.5,2
