Value,Before,After,Group
29.518,9.488,21.534,A
27.131,9.37,17.21,B
36.121,12.224,21.272,A
31.773,10.498,21.184,B
25.125,6.668,22.566,A
27.714,10.998,14.926,B
26.045,8.221,18.595,A
29.956,9.908,21.563,B
31.165,10.617,21.182,A
38.902,13.435,21.67,B
26.065,8.759,17.781,A
30.771,9.787,21.896,B
26.255,9.105,17.129,A
33.917,12.442,17.576,B
29.52,10.853,15.531,A
31.882,12.612,13.957,B
28.847,9.788,17.548,A
28.382,9.875,15.606,B
35.537,11.339,22.838,A
30.329,10.724,20.358,B
31.091,11.231,18.165,A
22.958,7.47,17.097,B
30.65,12.578,13.905,A
33.701,10.479,24.33,B
18.98,6.2,12.445,A
26.353,8.527,16.641,B
34.889,12.204,20.472,A
34.747,10.869,24.782,B
31.328,11.037,21.643,A
37.089,12.563,22.865,B
21.996,6.052,18.099,A
23.499,6.378,19.448,B
27.722,7.378,24.83,A
30.537,9.7,20.975,B
31.539,10.241,23.437,A
29.93,9.171,23.125,B
29.363,8.239,22.839,A
26.016,9.11,15.86,B
30.362,9.702,19.106,A
26.515,7.946,23.782,B
