Group,Value
Control,100.2
Control,100.8
Control,99.7
Control,100.4
Control,100.1
Control,99.9
Control,100.5
Control,100.3
Control,99.8
Control,100.6
Control,100.0
Control,100.4
Control,99.6
Control,100.7
Control,100.2
Treatment_A,105.1
Treatment_A,104.8
Treatment_A,105.3
Treatment_A,104.9
Treatment_A,105.2
Treatment_A,105.0
Treatment_A,104.7
Treatment_A,105.4
Treatment_A,105.1
Treatment_A,104.9
Treatment_A,105.2
Treatment_A,105.0
Treatment_A,104.8
Treatment_A,105.3
Treatment_A,105.1
Treatment_B,110.5
Treatment_B,98.2
Treatment_B,125.7
Treatment_B,103.8
Treatment_B,118.9
Treatment_B,107.1
Treatment_B,122.4
Treatment_B,101.6
Treatment_B,115.3
Treatment_B,109.7
Treatment_B,120.8
Treatment_B,106.2
Treatment_B,113.5
Treatment_B,119.1
Treatment_B,104.9
