concentration_uM,replicate,response_pct,compound,cell_line
0,1,0.97,Compound_A,HeLa
0,2,5.13,Compound_A,HeLa
0,3,6.48,Compound_A,HeLa
0,4,0.0,Compound_A,HeLa
0.01,1,3.93,Compound_A,HeLa
0.01,2,0.72,Compound_A,HeLa
0.01,3,0.0,Compound_A,HeLa
0.01,4,0.0,Compound_A,HeLa
0.1,1,3.49,Compound_A,HeLa
0.1,2,0.0,Compound_A,HeLa
0.1,3,2.78,Compound_A,HeLa
0.1,4,5.22,Compound_A,HeLa
1,1,32.37,Compound_A,HeLa
1,2,38.29,Compound_A,HeLa
1,3,42.09,Compound_A,HeLa
1,4,28.54,Compound_A,HeLa
10,1,79.92,Compound_A,HeLa
10,2,82.36,Compound_A,HeLa
10,3,87.23,Compound_A,HeLa
10,4,87.42,Compound_A,HeLa
100,1,98.18,Compound_A,HeLa
100,2,87.62,Compound_A,HeLa
100,3,98.3,Compound_A,HeLa
100,4,96.18,Compound_A,HeLa
