gene,CTRL_1,CTRL_2,CTRL_3,CTRL_4,CTRL_5,CTRL_6,CTRL_7,CTRL_8,CTRL_9,CTRL_10,TREAT_1,TREAT_2,TREAT_3,TREAT_4,TREAT_5,TREAT_6,TREAT_7,TREAT_8,TREAT_9,TREAT_10
GENE_001,2022.19,280.23,59.35,74.80,171.48,22.74,1067.52,3230.04,157.34,73.44,11595.43,722.24,1075.60,2557.41,886.38,785.02,1785.83,649.61,440.72,147.13
GENE_002,572.11,86.58,187.20,7914.05,156.12,9937.25,1252.55,3028.99,874.14,32.89,169.16,26.77,82.57,2150.81,177.68,48.97,211.85,205.18,550.43,1229.99
GENE_003,77.45,114.12,40.10,3203.80,14133.96,230.26,316.26,268.66,273.53,241.51,294.67,457.50,838.47,134.66,526.12,41.51,84.13,1356.20,33.33,25.97
GENE_004,91.71,266.58,1207.13,366.21,3920.15,1521.50,606.61,3578.45,234.18,9.60,2959.61,1175.55,22227.70,10743.26,1758.11,442.09,20552.14,1833.63,32133.67,877.20
GENE_005,121.71,2254.64,342.41,436.59,5769.99,419.60,332.33,443.67,179.07,292.69,999.56,1173.59,692.37,29.52,1046.97,181341.40,812.07,913.74,1137.30,3856.83
GENE_006,4887.99,373.91,2025.70,307.77,130.68,2045.85,432.62,711.77,9264.92,776.86,105.72,6342.35,193.02,406.54,5719.70,493.73,1392.56,627.18,12029.08,771.61
GENE_007,1285.97,92.34,3542.98,1733.35,1247.04,415.81,539.15,3414.55,536.60,86.32,232.64,50.63,313.26,21.21,330.93,768.29,981.33,678.43,247.07,958.78
GENE_008,921.33,1605.57,112.32,167.12,51.03,946.50,2005.60,4356.36,55.82,6940.30,432.45,98.59,4732.44,1756.77,91.59,126.87,437.53,119.24,1054.62,43746.31
GENE_009,12819.50,50.39,601.79,357.96,23.85,55.07,94.35,51.12,1557.43,60.80,341.70,5948.71,339.80,916.52,806.49,712.17,1386.14,146.85,13698.58,76.99
GENE_010,620.24,208.15,1063.94,842.95,184.26,42.42,1849.29,97.54,37.93,93.63,1410.93,223.79,8321.80,769.62,286.84,1258.73,1053.81,1355.73,10834.39,288.68
GENE_011,423.88,408.56,1063.13,90.63,52.97,6.73,2515.97,20.96,639.24,680.40,900.90,293.48,11314.89,604.63,48.38,785.14,1681.04,448.39,5021.62,2680.60
GENE_012,756.44,32.98,3048.00,1422.14,2787.98,751.50,308.48,1311.20,1525.94,603.86,137.36,29.56,19.95,472.03,264.23,40.88,77.38,11.64,103.62,39.92
GENE_013,2496.46,3702.51,300.71,2633.89,5.79,62.03,223.51,295.87,4131.37,159.06,242.65,594.96,106.88,2.59,424.98,5.10,91.14,8107.97,53.91,539.53
GENE_014,124.57,115.13,758.29,2692.69,326.69,357.35,2.23,258.19,31.47,1180.82,630.43,6886.96,30.52,348.93,25752.22,1505.53,192.24,199.04,1327.68,12419.49
GENE_015,122.92,1118.17,831.29,373.86,1401.87,35.74,347.29,84.98,2680.77,67755.84,286.54,4697.55,655.71,157.28,1559.12,3595.45,674.72,3019.50,1025.45,2854.59
GENE_016,446.53,506.44,409.17,1386.93,71350.18,1565.82,1053.19,114.02,5.28,34.14,1182.24,210.77,85.74,282.32,189.48,164.81,248.64,179.77,29.61,106.58
GENE_017,252.57,172.28,57243.91,228.10,211.97,2245.60,51.52,192.99,2405.31,3601.25,339.56,1787.09,61.53,537.35,439.79,277.43,241.78,2811.62,536.55,6026.87
GENE_018,167.00,109.50,168.09,688.28,470.24,17936.35,357.69,294.65,153.78,512.15,1533.37,1281.27,6.86,1517.33,2227.79,245.94,161.75,31.85,65.92,419.26
GENE_019,139.92,147.76,56.02,387.91,451.68,173.46,1276.57,927.12,472.40,33.17,385.29,213.05,443.03,290.66,459.07,1279.34,158.72,572.11,588.89,507.93
GENE_020,72.18,163.80,1489.81,2288.82,5831.41,3842.68,878.03,381.81,712.70,1974.89,146.49,251.43,178.67,1321.63,450.30,663.69,20.33,259.73,3226.47,73.98
GENE_021,226.19,818.55,1835.13,1266.55,118.38,14.16,16.74,244.91,92.31,965.60,2139.27,2535.87,629.76,107.95,399.85,1037.36,271.05,1964.76,504.85,1781.75
GENE_022,238.54,99.34,488.36,153.60,132.52,623.92,161.26,355.58,17.65,5931.31,835.92,342.10,443.18,990.27,13837.49,314.89,3787.72,1247.73,56.09,589.08
GENE_023,536.53,1336.67,351.55,381.73,1822.04,67.60,545.38,1155.69,604.29,1191.27,399.22,745.76,129.83,120.63,70.58,200.37,2317.96,285.46,368.07,35.82
GENE_024,1920.34,75.72,252.99,298.34,312.29,449.96,46529.40,1510.07,820.11,12.96,164.88,3139.21,318.86,98.42,1054.82,170.61,2464.52,472.53,131.82,15458.13
GENE_025,672.46,239.35,48.21,416.00,365.82,128.78,37.76,195.34,492.37,4093.06,338.55,949.46,3737.54,10.81,64.00,84.36,2789.14,56.79,19.89,1666.47
