sample_id,group,batch,rna_quality
CTRL_1,control,batch_1,9.8
CTRL_2,control,batch_2,8.2
CTRL_3,control,batch_1,7.8
CTRL_4,control,batch_2,9.7
CTRL_5,control,batch_1,8.4
CTRL_6,control,batch_2,8.4
CTRL_7,control,batch_1,8.8
CTRL_8,control,batch_2,8.8
CTRL_9,control,batch_1,9.0
CTRL_10,control,batch_2,9.5
TREAT_1,treatment,batch_1,9.5
TREAT_2,treatment,batch_2,9.1
TREAT_3,treatment,batch_1,7.6
TREAT_4,treatment,batch_2,9.3
TREAT_5,treatment,batch_1,9.3
TREAT_6,treatment,batch_2,9.2
TREAT_7,treatment,batch_1,7.5
TREAT_8,treatment,batch_2,9.5
TREAT_9,treatment,batch_1,8.8
TREAT_10,treatment,batch_2,8.9
