"pmcid","xml_std","xml_chk","txt_std","txt_chk"
"PMC10025726",0,0,0,0
"PMC10030882",0,0,0,0
"PMC10052031",17,0,10,0
"PMC10052951",0,0,0,0
"PMC10063182",0,0,0,0
"PMC10084416",2,0,2,0
"PMC10113453",28,0,23,0
"PMC10119283",14,1,13,1
"PMC10124269",5,0,5,0
"PMC10129326",17,0,17,0
"PMC10160752",0,0,0,0
"PMC10165932",0,0,0,0
"PMC10181491",0,0,0,0
"PMC10197056",32,1,29,1
"PMC10204277",9,7,9,7
"PMC10223058",0,0,0,0
"PMC10226270",59,0,42,0
"PMC10230385",28,0,27,0
"PMC10235871",23,0,9,0
"PMC10239214",13,13,13,13
"PMC10241048",2,0,2,0
"PMC10252647",18,0,15,0
"PMC10255560",3,0,3,0
"PMC10257708",7,0,9,0
"PMC10264377",22,0,37,0
"PMC10273329",0,0,0,0
"PMC10277677",0,0,0,0
"PMC10297209",13,6,11,6
"PMC10297290",16,0,14,0
"PMC10299096",8,0,4,0
"PMC10327226",40,8,40,8
"PMC10351867",1,0,1,0
"PMC10360963",14,3,14,3
"PMC10376537",36,22,34,22
"PMC10377976",10,0,10,0
"PMC10383994",25,0,16,0
"PMC10399683",0,0,0,0
"PMC10408026",22,0,13,0
"PMC10416185",20,0,20,0
"PMC10418746",4,0,0,0
"PMC10425937",3,1,7,1
"PMC10448242",2,0,2,0
"PMC10448275",34,4,40,4
"PMC10454791",7,0,7,0
"PMC10458143",8,0,6,0
"PMC10458717",3,0,3,0
"PMC10458887",14,0,5,0
"PMC10469471",18,16,18,16
"PMC10470505",1,0,0,0
"PMC10477767",7,0,10,0
"PMC10486005",20,0,22,0
"PMC10506948",12,5,12,5
"PMC10542768",7,3,7,3
"PMC10567531",0,0,0,0
"PMC10576905",0,0,0,0
"PMC10600551",11,0,11,0
"PMC10601584",4,4,4,4
"PMC10606499",30,8,28,8
"PMC10609761",31,0,23,0
"PMC10609917",8,0,8,0
"PMC10611935",11,0,6,0
"PMC10666048",9,0,9,0
"PMC10667913",23,15,26,15
"PMC10674022",1,0,1,0
"PMC10684815",0,0,0,0
"PMC10685351",3,0,3,0
"PMC10696195",2,0,2,0
"PMC10715525",4,0,4,0
"PMC10722034",1,0,1,0
"PMC10725511",7,0,16,0
"PMC10743184",8,0,2,0
"PMC10744837",2,0,3,0
"PMC10751779",2,0,2,0
"PMC10759175",4,0,4,0
"PMC10760832",10,5,11,5
"PMC10760884",20,0,19,0
"PMC10777077",0,0,2,0
"PMC10782726",1,0,1,0
"PMC10800964",0,0,0,0
"PMC10815870",5,0,0,0
"PMC10821584",12,0,16,0
"PMC10821898",3,0,3,0
"PMC10823955",4,0,3,0
"PMC10827970",4,0,3,0
"PMC10847107",0,0,0,0
"PMC10866145",7,0,7,0
"PMC10874529",0,0,0,0
"PMC10878486",13,0,14,0
"PMC10883630",10,0,8,0
"PMC10917103",34,3,37,3
"PMC10951042",30,3,29,3
"PMC10968275",8,0,8,0
"PMC10973574",0,0,0,0
"PMC10974502",13,0,11,0
"PMC10987930",8,0,10,0
"PMC10988490",30,0,24,0
"PMC11013851",1,0,1,0
"PMC11014195",0,0,3,0
"PMC11016112",0,0,0,0
"PMC11056472",0,0,0,0
"PMC11065925",15,0,12,0
"PMC11077090",0,0,0,0
"PMC11077712",10,0,10,0
"PMC11085423",8,0,7,0
"PMC11096602",0,0,0,0
"PMC11100832",4,0,3,0
"PMC11103783",3,0,7,0
"PMC11121788",11,0,10,0
"PMC11131302",6,0,5,0
"PMC11137060",17,0,16,0
"PMC11142399",17,0,17,0
"PMC11161073",37,2,38,2
"PMC11163101",32,25,32,25
"PMC11202030",25,15,23,15
"PMC11202836",10,0,10,0
"PMC11208860",40,0,34,0
"PMC11213483",0,0,0,0
"PMC11235664",26,8,26,8
"PMC11244522",5,0,1,0
"PMC11249221",6,0,6,0
"PMC11251315",52,2,79,2
"PMC11278042",2,0,2,0
"PMC11298742",0,0,0,0
"PMC11321532",0,0,0,0
"PMC11325212",20,0,20,0
"PMC11328902",0,0,1,0
"PMC11331157",4,0,4,0
"PMC11346973",8,0,7,0
"PMC11353344",52,8,46,8
"PMC11354076",4,4,4,4
"PMC11355205",3,0,2,0
"PMC11369189",0,0,0,0
"PMC11372212",12,1,10,1
"PMC11380149",4,0,3,0
"PMC11392084",0,0,0,0
"PMC11401609",18,0,14,0
"PMC11407465",26,0,29,0
"PMC11409300",3,1,3,1
"PMC11432780",3,0,3,0
"PMC11434664",0,0,0,0
"PMC11440504",3,0,2,0
"PMC11447664",0,0,0,0
"PMC11458066",84,42,82,42
"PMC11463979",22,0,8,0
"PMC11470169",1,0,1,0
"PMC11471231",12,0,15,0
"PMC11473524",12,0,13,0
"PMC11482524",19,9,13,9
"PMC11485023",0,0,0,0
"PMC11485363",10,0,7,0
"PMC11491428",0,0,0,0
"PMC11510583",49,0,49,0
"PMC11512065",23,0,19,0
"PMC11515366",24,0,23,0
"PMC11519493",2,0,2,0
"PMC11543436",5,0,2,0
"PMC11551309",29,0,27,0
"PMC11561248",14,0,27,0
"PMC11567834",0,0,0,0
"PMC11574563",4,2,4,2
"PMC11586061",6,0,5,0
"PMC11596038",0,0,0,0
"PMC11620205",4,0,3,0
"PMC11621865",0,0,0,0
"PMC11623000",0,0,0,0
"PMC11631000",1,0,1,0
"PMC11640201",0,0,0,0
"PMC11649742",7,0,7,0
"PMC11683648",2,0,0,0
"PMC11706165",21,5,23,5
"PMC11732843",10,0,6,0
"PMC11739692",68,17,74,17
"PMC11740148",1,0,1,0
"PMC11758472",0,0,0,0
"PMC11760447",0,0,0,0
"PMC11761117",23,12,0,0
"PMC11765337",11,0,5,0
"PMC11796190",6,4,50,14
"PMC11820044",0,0,0,0
"PMC11831900",3,0,3,0
"PMC11843966",1,0,24,0
"PMC11877658",29,0,25,0
"PMC11886591",18,0,26,0
"PMC11888203",23,15,19,8
"PMC11899497",0,0,0,0
"PMC11915160",1,0,2,0
"PMC11939554",2,1,1,1
"PMC11941574",3,0,3,0
"PMC11944859",0,0,0,0
"PMC11955303",20,8,20,8
"PMC11961930",97,0,92,0
"PMC11989852",2,0,2,0
"PMC11989952",23,1,19,1
"PMC12000867",3,0,3,0
"PMC12004663",0,0,0,0
"PMC12018102",19,0,19,0
"PMC12047868",0,0,0,0
"PMC12048950",0,0,0,0
"PMC12052758",13,0,8,0
"PMC12115374",3,0,3,0
"PMC12116715",19,0,19,0
