idx,claim_id,pmcid,raw_text,statistic,df,reported_p,p_comparison,recomputed_p,coder1_category,coder2_category,notes
0,F0000,PMC8096927,"F (1,38) = 1.11, p = 0.29",1.11,"[1, 38]",0.29,equals,0.2987,,,
1,F0001,PMC7383972,"F (4, 56) = 3.750, p = .037",3.75,"[4, 56]",0.037,equals,0.008992,,,
2,F0002,PMC10667913,"t (105) = 2.26, p = 0.029",2.26,[105],0.029,equals,0.02589,,,
3,F0003,PMC8446200,"F ( 5 .426 , 206 .172 ) = 3.195, p = 0.007",3.195,"[5, 426, 206, 172]",0.007,equals,0.007634,,,
4,F0004,PMC11482524,"z = 1.8128, p = 0.035",1.8128,,0.035,equals,0.06986,,,
5,F0005,PMC7216261,"F (2,100) = 0.88, p = 0.352",0.88,"[2, 100]",0.352,equals,0.418,,,
6,F0006,PMC10557698,z = 2.776; p = 0.034,2.776,,0.034,equals,0.005503,,,
7,F0007,PMC10988490,"r = 0.39, P = 0.301",0.39,,0.301,equals,0.2652,,,
8,F0008,PMC7216261,"F (1,50) = 7.31, p = 0.010",7.31,"[1, 50]",0.01,equals,0.009346,,,
9,F0009,PMC12548980,"r = 0.18, P < 0.001",0.18,,0.001,less_than,0.6697,,,
10,F0010,PMC8868051,"z = 1.71, p = 0.04",1.71,,0.04,equals,0.08727,,,
11,F0011,PMC11360476,"F(5, 80) = 6.428, p = 0.0048",6.428,"[5, 80]",0.0048,equals,4.544e-05,,,
12,F0012,PMC6346416,"Z = 1.91, p = 0.05",1.91,,0.05,equals,0.05613,,,
13,F0013,PMC7216261,"F (2,98) = 0.35, p = 0.558",0.35,"[2, 98]",0.558,equals,0.7056,,,
14,F0014,PMC6167552,"F (1,74) = 14.18, p = 0.001",14.18,"[1, 74]",0.001,equals,0.0003308,,,
15,F0015,PMC5887007,"F (1,16) = 3.78, p < 0.05",3.78,"[1, 16]",0.05,less_than,0.06967,,,
16,F0016,PMC6083218,"F (2,30) = 4.61, p = 0.032",4.61,"[2, 30]",0.032,equals,0.01796,,,
17,F0017,PMC9339704,"F (2, 30) = 6.71, P = 0.002",6.71,"[2, 30]",0.002,equals,0.003904,,,
18,F0018,PMC6160641,"F (6,84) = 3.3, p = 0.001",3.3,"[6, 84]",0.001,equals,0.005772,,,
19,F0019,PMC8873205,"F (4, 54) = 0.032, p = 0.9",0.032,"[4, 54]",0.9,equals,0.998,,,
20,F0020,PMC6107714,"t (79) = 10.12, p = 0.001",10.12,[79],0.001,equals,6.465e-16,,,
21,F0021,PMC9868299,"F (1, 56) = 32.93, p = 0.001",32.93,"[1, 56]",0.001,equals,4.033e-07,,,
22,F0022,PMC10557698,z = 2.96; p = 0.017,2.96,,0.017,equals,0.003076,,,
23,F0023,PMC8269663,"t(25) = 3.6, p = .0010",3.6,[25],0.001,equals,0.001373,,,
24,F0024,PMC11779511,"t (7) = 3.672, p = 0.032",3.672,[7],0.032,equals,0.007943,,,
25,F0025,PMC7970742,"F (2,56) = 3.819, P = 0.061",3.819,"[2, 56]",0.061,equals,0.02787,,,
26,F0026,PMC9846226,"t (19) = 2.040, p = 0.027",2.04,[19],0.027,equals,0.0555,,,
27,F0027,PMC9061856,"r = 0.53, p = 0.040",0.53,,0.04,equals,0.006429,,,
28,F0028,PMC8414832,"F (2,4) = 2.30, P = .253",2.3,"[2, 4]",0.253,equals,0.2163,,,
29,F0029,PMC9353437,"F (1, 106) = 1.748, p = .185",1.748,"[1, 106]",0.185,equals,0.189,,,
30,F0030,PMC5761830,"Z = 2.6, P = 0.004",2.6,,0.004,equals,0.009322,,,
31,F0031,PMC6709230,"t (23) = 0.964, p = 0.346",0.964,[23],0.346,equals,0.3451,,,
32,F0032,PMC8489157,"z = 3.338, P = 0.014",3.338,,0.014,equals,0.0008438,,,
33,F0033,PMC9846226,"F (1, 60) = 6.995, p = 0.011",6.995,"[1, 60]",0.011,equals,0.01042,,,
34,F0034,PMC9396849,"t(28) = 4.29, p = 0.002",4.29,[28],0.002,equals,0.0001922,,,
35,F0035,PMC7216261,"F (2,100) = 0.01, p = 0.944",0.01,"[2, 100]",0.944,equals,0.9901,,,
36,F0036,PMC6220762,"ρ = 0.700, P = .004",0.7,,0.004,equals,4.98e-07,,,
37,F0037,PMC8058340,"F (4,56) = 2.75, p = 0.03",2.75,"[4, 56]",0.03,equals,0.03691,,,
38,F0038,PMC6107706,"F (1,20) = 0.17; p = 0.19",0.17,"[1, 20]",0.19,equals,0.6845,,,
39,F0039,PMC7216261,"F (2,104) = 1.87, p = 0.178",1.87,"[2, 104]",0.178,equals,0.1593,,,
40,F0040,PMC8379065,"F (5, 485) = 16.73, p = .001",16.73,"[5, 485]",0.001,equals,2.925e-15,,,
41,F0041,PMC10557698,z = 3.153; p = 0.0153,3.153,,0.0153,equals,0.001616,,,
42,F0042,PMC12327882,"F (9, 926) =12.35; p=0.000004",12.35,"[9, 926]",4e-06,equals,1.289e-18,,,
43,F0043,PMC11561248,"r = 0.6930, p < 0.01",0.693,,0.01,less_than,0.01807,,,
44,F0044,PMC6067695,"F (2, 770) = 1.72, p = .17",1.72,"[2, 770]",0.17,equals,0.1798,,,
45,F0045,PMC11779511,"t (8) = 0.090, p = 0.179",0.09,[8],0.179,equals,0.9305,,,
46,F0046,PMC6096657,"F (2, 943) = 4.24, p = .02",4.24,"[2, 943]",0.02,equals,0.01468,,,
47,F0047,PMC7970742,"F (2,56) = 4.038, P = 0.034",4.038,"[2, 56]",0.034,equals,0.023,,,
48,F0048,PMC8058340,"t (14) = 2.75, p < 0.01",2.75,[14],0.01,less_than,0.01564,,,
49,F0049,PMC6951062,"F(1,24)=6.517, P =0.031",6.517,"[1, 24]",0.031,equals,0.01746,,,
50,F0050,PMC6018610,"t(16) = 2.20, p = 0.43",2.2,[16],0.43,equals,0.04285,,,
51,F0051,PMC9061856,"r = 0.40, p = 0.0226",0.4,,0.0226,equals,0.04757,,,
52,F0052,PMC9773662,"t (35) = 2.3, p = 0.024",2.3,[35],0.024,equals,0.02753,,,
53,F0053,PMC9963851,"F (1, 2) = 41.329, p < 0.001",41.329,"[1, 2]",0.001,less_than,0.02335,,,
54,F0054,PMC10988490,"r = 0.65, P = 0.005",0.65,,0.005,equals,0.05807,,,
55,F0055,PMC5958155,"F (1,2) = 0.89, P = 0.24",0.89,"[1, 2]",0.24,equals,0.4451,,,
56,F0056,PMC8058340,"t (7) = 2.75, p = 0.02",2.75,[7],0.02,equals,0.0285,,,
57,F0057,PMC12116715,ρ = 0.27; p = 0.087,0.27,,0.087,equals,0.06062,,,
58,F0058,PMC11888203,"F (1,26) = 5.779; p =
0.0150",5.779,"[1, 26]",0.015,equals,0.02364,,,
59,F0059,PMC8831019,"z = 3.092, p = .003",3.092,,0.003,equals,0.001988,,,
60,F0060,PMC7990292,"t (26) = 1.873, p = 0.036",1.873,[26],0.036,equals,0.07235,,,
61,F0061,PMC11422287,"χ2 (9, N = 214) = 2.814, p = 0.079",2.814,[9],0.079,equals,0.9712,,,
62,F0062,PMC6098926,"F (1, 18) = 9.62, p < 0.001",9.62,"[1, 18]",0.001,less_than,0.006158,,,
63,F0063,PMC7725819,"F(1, 50) = 0.48, p = 0.8281",0.48,"[1, 50]",0.8281,equals,0.4916,,,
64,F0064,PMC7216261,"F (2,98) = 1.36, p = 0.249",1.36,"[2, 98]",0.249,equals,0.2615,,,
65,F0065,PMC7383972,"F (4, 56) = 2.571, p = .094",2.571,"[4, 56]",0.094,equals,0.04761,,,
66,F0066,PMC9868299,"F (1, 56) = 44.01, p = 0.001",44.01,"[1, 56]",0.001,equals,1.39e-08,,,
67,F0067,PMC5928138,"F (1,20) = 4.751, p = 0.045",4.751,"[1, 20]",0.045,equals,0.04141,,,
68,F0068,PMC6171331,"F(2,112) = 0.264, P = 0.76",0.264,"[2, 112]",0.76,equals,0.7685,,,
69,F0069,PMC8658324,"t (25) = 2.13, p = 0.07",2.13,[25],0.07,equals,0.0432,,,
70,F0070,PMC8096927,"t (38) = 2.65, p = 0.011",2.65,[38],0.011,equals,0.01167,,,
71,F0071,PMC10667913,"F (4, 420) = 2.07, p = 0.09",2.07,"[4, 420]",0.09,equals,0.08388,,,
72,F0072,PMC10667913,"t (68) = 3.14, p = 0.001",3.14,[68],0.001,equals,0.0025,,,
73,F0073,PMC11779511,"t (6) = 2.4476, p = 0.23",2.4476,[6],0.23,equals,0.04995,,,
74,F0074,PMC7970742,"F (4,132) = 0.331, P = 0.786",0.331,"[4, 132]",0.786,equals,0.8567,,,
