,total_reads,nonzero_genes,tumor_type
T1,3319883,23811,Metastasis
T3,5885390,26444,Metastasis
T5,5516536,26544,Metastasis
T6,3623877,26057,Metastasis
T18,2565909,21444,Metastasis
T21,7277724,27325,Metastasis
T31,4044064,24573,Metastasis
T10,12514260,22962,Primary_tumor
T11,3625678,29748,Primary_tumor
T15,2294208,32299,Primary_tumor
T29,6201703,22985,Metastasis
T30,5800207,21528,Metastasis
T22,9805027,27271,Primary_tumor
T83,4480492,24426,Primary_tumor
T26,7191715,26267,Metastasis
T16,1175309,32293,Primary_tumor
T28,5748996,25038,Metastasis
T24,4096444,22111,Metastasis
T17,2070146,33121,Primary_tumor
T23,1862947,19841,Primary_tumor
T25,3556284,20838,Primary_tumor
T34,5212313,25470,Primary_tumor
T35,6346543,24493,Metastasis
T36,7846503,24207,Metastasis
T37,3760758,24760,Primary_tumor
T38,6889958,31187,Metastasis
T52,6570819,23898,Metastasis
T45,10397608,21221,Primary_tumor
T73,4866902,25134,Metastasis
T39,7945870,22688,Primary_tumor
T57,7626255,21580,Metastasis
T44,10814238,21986,Primary_tumor
T43,5800657,27730,Primary_tumor
T40,7410375,23666,Primary_tumor
T42,5205948,22991,Primary_tumor
T46,5511606,22906,Primary_tumor
T49,4385630,25933,Primary_tumor
T65,7197970,25539,Metastasis
T63,3582164,23053,Metastasis
T48,5276958,24378,Primary_tumor
T74,5965937,22016,Metastasis
T75,1977984,21490,Metastasis
T53,3369382,22935,Metastasis
T66,1556919,19972,Metastasis
T55,3579651,36903,Metastasis
T67,7953307,23504,Metastasis
T110,4152803,28445,Metastasis
T103,5980302,23184,Metastasis
T58,5687358,24361,Primary_tumor
T56,5096465,30393,Primary_tumor
T54,9890140,23079,Primary_tumor
T59,3247515,23627,Primary_tumor
T62,5117619,17547,Metastasis
T70,9879621,30181,Metastasis
T60,8713067,26658,Primary_tumor
T64,7301308,19701,Primary_tumor
T72,2449941,22541,Primary_tumor
T61,11260723,26080,Primary_tumor
T88,5962870,24120,Metastasis
T114,14405913,27588,Metastasis
T68,7189666,27997,Primary_tumor
T71,6774942,24681,Primary_tumor
T2,2423861,22718,Primary_tumor
T104,6584466,27552,Metastasis
T105,4984180,22549,Metastasis
T108,3936462,19360,Primary_tumor
T94,1062770,22248,Metastasis
T96,5604947,27438,Metastasis
T111,5808558,25345,Primary_tumor
T112,8597859,24838,Primary_tumor
T76,5067179,22969,Primary_tumor
T7,2566729,18990,Primary_tumor
T8,4109314,19120,Primary_tumor
T77,6868611,24187,Primary_tumor
T92,554055,10464,Primary_tumor
T100,4503189,25424,Primary_tumor
T117,3514037,20969,Primary_tumor
T79,4145768,22524,Primary_tumor
T89,9357417,22866,Primary_tumor
T115,5996445,28934,Primary_tumor
T80,4311505,21969,Primary_tumor
T113,13114542,26182,Primary_tumor
T82,3047729,14802,Primary_tumor
T118,2166956,10635,Primary_tumor
T97,6050719,25036,Primary_tumor
T87,2429877,18841,Primary_tumor
T14,2871745,30248,Primary_tumor
T116,9805786,27577,Primary_tumor
T102,9184960,25864,Primary_tumor
T109,9475395,26076,Primary_tumor
T85,5936932,27593,Primary_tumor
