"study_id","author","year","events_treatment","n_treatment","events_control","n_control","log_or","variance","se"
1,"Morton",1984,1,40,2,36,-0.830348,1.555053,1.247018
2,"Rasmussen",1986,9,135,23,135,-1.056053,0.171454,0.414071
3,"Smith",1986,2,200,7,200,-1.27834,0.653089,0.808139
4,"Abraham",1987,1,48,1,46,-0.043485,2.043499,1.42951
5,"Feldstedt",1988,10,150,8,148,0.223144,0.239286,0.489168
6,"Shechter",1989,1,59,9,56,-2.40752,1.149629,1.072208
7,"Ceremuzynski",1989,1,25,3,23,-1.280934,1.425,1.193734
8,"Bertschat",1989,0,22,1,21,-1.191703,2.759892,1.661292
9,"Singh",1990,6,76,11,75,-0.695748,0.287486,0.536178
10,"Pereira",1990,1,27,7,27,-2.208274,1.231319,1.109648
11,"Shechter",1991,2,89,12,80,-2.03816,0.609533,0.780726
12,"Golf",1991,5,23,13,33,-0.850151,0.382479,0.618449
13,"Thogersen",1991,4,130,8,122,-0.793231,0.391708,0.625866
14,"LIMIT-2",1992,90,1159,118,1157,-0.29934,0.021484,0.146573
15,"Shechter",1995,4,107,17,108,-1.570788,0.329521,0.574039
16,"ISIS-4",1995,2216,29011,2103,29039,0.057587,0.001001,0.031642
