record_id,class,case_id,doi,pmid,pmcid,journal,issn,pub_year,retraction_date,retraction_reasons_raw,retraction_is_statistical,license,oa_group,mesh_top5,full_text_local_path,fetched_at,harvester_version
case_0001,case,,10.1371/journal.pntd.0000586,20126266,PMC2811169,PLoS neglected tropical diseases,1935-2735,2010,2022-12-09,Concerns/Issues about Data;,True,CC-BY,1,"Amino Acid Sequence|Blotting, Northern|Blotting, Western|DNA, Protozoan|Dyneins",data/full_text/PMC2811169.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0001,control,case_0001,10.1371/journal.pntd.0001369,22132243,PMC3222631,PLoS neglected tropical diseases,1935-2735,2011,,,,CC-BY,1,Disease Vectors|Ecosystem,data/full_text/PMC3222631.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0002,control,case_0001,10.1371/journal.pntd.0001391,22132247,PMC3222627,PLoS neglected tropical diseases,1935-2735,2011,,,,CC-BY,1,Endemic Diseases,data/full_text/PMC3222627.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
case_0002,case,,10.1371/journal.pone.0009616,20231902,PMC2834758,PloS one,1932-6203,2010,2023-07-25,Concerns/Issues about Data;Falsification/Fabrication of Data;Investigation by Company/Institution;Misconduct - Official Investigation(s) and/or Finding(s);,True,CC-BY,1,"Gene Expression Regulation, Enzymologic",data/full_text/PMC2834758.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0003,control,case_0002,10.1371/journal.pone.0028662,22216104,PMC3246438,PloS one,1932-6203,2011,,,,CC-BY,1,Geography|Phylogeny|Pollen,data/full_text/PMC3246438.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0004,control,case_0002,10.1371/journal.pone.0028863,22216129,PMC3247225,PloS one,1932-6203,2011,,,,CC-BY,1,Unfolded Protein Response,data/full_text/PMC3247225.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
case_0003,case,,10.3201/eid1604.091583,20350405,PMC3321961,Emerging infectious diseases,1080-6059,2010,2013-01-01,Error in Analyses;Error in Data;,True,CC-BY,1,"Influenza A Virus, H3N2 Subtype|Reassortant Viruses",data/full_text/PMC3321961.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0005,control,case_0003,10.3201/eid1712.111037,22153118,PMC3311172,Emerging infectious diseases,1080-6059,2011,,,,CC-BY,1,Adult|Cardiovirus|Cardiovirus Infections|Child|Cohort Studies,data/full_text/PMC3311172.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0006,control,case_0003,10.3201/eid1712.111103,22172111,PMC3311217,Emerging infectious diseases,1080-6059,2011,,,,CC-BY,1,"Animals|Caniformia|Chile|Communicable Diseases, Emerging|Female",data/full_text/PMC3311217.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
case_0004,case,,10.1186/1743-422x-7-169,20663162,PMC2918564,Virology journal,1743-422X,2010,2010-08-13,Concerns/Issues about Data;Error in Data;,True,CC-BY,1,"Bible|Female|Fever|History, Ancient|Humans",data/full_text/PMC2918564.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0007,control,case_0004,10.1186/1743-422x-8-485,22032643,PMC3224784,Virology journal,1743-422X,2011,,,,CC-BY,1,"Adolescent|Adult|Aged|Aged, 80 and over|Biopsy",data/full_text/PMC3224784.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0008,control,case_0004,10.1186/1743-422x-8-514,22074103,PMC3231975,Virology journal,1743-422X,2011,,,,CC-BY,1,Adolescent|Adult|Aged|Benin|Cervix Uteri,data/full_text/PMC3231975.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
case_0005,case,,10.1038/sj.bjc.6605972,21102589,PMC3039819,British journal of cancer,1532-1827,2011,2012-12-04,Unreliable Results and/or Conclusions;,True,CC-BY,1,"Adult|Aged|Aged, 80 and over|Antibodies, Monoclonal|Antineoplastic Combined Chemotherapy Protocols",data/full_text/PMC3039819.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0009,control,case_0005,10.1038/bjc.2011.434,22015554,PMC3242595,British journal of cancer,1532-1827,2011,,,,CC-BY,1,Angiostatins|Animals|Apoptosis|Cell Survival|Disease Progression,data/full_text/PMC3242595.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
ctrl_0010,control,case_0005,10.1038/bjc.2011.438,22027708,PMC3242596,British journal of cancer,1532-1827,2011,,,,CC-BY,1,"Adult|Aged|Aged, 80 and over|Antineoplastic Agents|Colonic Neoplasms",data/full_text/PMC3242596.nxml.gz,2026-04-17T13:01:16+00:00,618a75d
case_0006,case,,10.5402/2011/321206,21991465,PMC3169901,ISRN dentistry,2090-438X,2011,2019-04-04,Error in Analyses;Error in Methods;Error in Results and/or Conclusions;,True,CC-BY,1,,data/full_text/PMC3169901.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
ctrl_0011,control,case_0006,10.5402/2011/102047,21991453,PMC3186915,ISRN dentistry,2090-438X,2011,,,,CC-BY,1,,data/full_text/PMC3186915.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
ctrl_0012,control,case_0006,10.5402/2011/102329,21991454,PMC3168916,ISRN dentistry,2090-438X,2011,,,,CC-BY,1,,data/full_text/PMC3168916.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
case_0007,case,,10.1371/journal.pone.0016256,21283593,PMC3026814,PloS one,1932-6203,2011,2012-09-07,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Investigation by Company/Institution;Results Not Reproducible;,True,CC-BY,1,"Dietary Proteins|Plants, Genetically Modified",data/full_text/PMC3026814.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
ctrl_0013,control,case_0007,10.1371/journal.pone.0052726,23285170,PMC3532427,PloS one,1932-6203,2012,,,,CC-BY,1,Septal Occluder Device,data/full_text/PMC3532427.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
ctrl_0014,control,case_0007,10.1371/journal.pone.0052756,23285176,PMC3532342,PloS one,1932-6203,2012,,,,CC-BY,1,"Alternative Splicing|Aryl Hydrocarbon Receptor Nuclear Translocator|Basic Helix-Loop-Helix Proteins|Benzhydryl Compounds|Cells, Cultured",data/full_text/PMC3532342.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
case_0008,case,,10.3390/ijms12042325,21731444,PMC3127120,International journal of molecular sciences,1422-0067,2011,2012-02-09,Error in Materials;Error in Methods;Error in Results and/or Conclusions;,True,CC-BY,1,,data/full_text/PMC3127120.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
ctrl_0015,control,case_0008,10.3390/ijms131217006,23235327,PMC3546736,International journal of molecular sciences,1422-0067,2012,,,,CC-BY,1,"Animals|Cytochrome P-450 Enzyme System|Dose-Response Relationship, Drug|Gene Expression Regulation, Enzymologic|Lamiaceae",data/full_text/PMC3546736.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
ctrl_0016,control,case_0008,10.3390/ijms131217077,23235331,PMC3546740,International journal of molecular sciences,1422-0067,2012,,,,CC-BY,1,Breeding|Genetic Engineering|Plant Physiological Phenomena|Solanaceae|Trichomes,data/full_text/PMC3546740.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
case_0009,case,,10.1107/s1600536811013067,21754303,PMC3089308,"Acta crystallographica. Section E, Structure reports online",1600-5368,2011,2012-05-26,Error in Analyses;Error in Data;Error in Results and/or Conclusions;,True,CC-BY,1,,data/full_text/PMC3089308.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
ctrl_0017,control,case_0009,10.1107/s1600536812048167,23468669,PMC3588704,"Acta crystallographica. Section E, Structure reports online",1600-5368,2012,,,,CC-BY,1,,data/full_text/PMC3588704.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
ctrl_0018,control,case_0009,10.1107/s1600536812047733,23468735,PMC3588770,"Acta crystallographica. Section E, Structure reports online",1600-5368,2012,,,,CC-BY,1,,data/full_text/PMC3588770.nxml.gz,2026-04-17T13:01:20+00:00,618a75d
case_0010,case,,10.1289/ehp.1003339,21684833,PMC3230443,Environmental health perspectives,1552-9924,2011,2016-04-01,Concerns/Issues about Data;Results Not Reproducible;,True,CC-BY,1,"Animals|Bronchial Hyperreactivity|Extracellular Matrix Proteins|Immunity, Innate|Lipopolysaccharides",data/full_text/PMC3230443.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0019,control,case_0010,10.1289/ehp.1104666,23033452,PMC3548278,Environmental health perspectives,1552-9924,2012,,,,CC0,1,Animal Testing Alternatives|Animal Welfare|Animals|Environmental Pollutants|Humans,data/full_text/PMC3548278.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0020,control,case_0010,10.1289/ehp.1205432,23060388,PMC3548275,Environmental health perspectives,1552-9924,2012,,,,CC0,1,Acrylamide|Algorithms|Animals|Ecotoxicology|Humans,data/full_text/PMC3548275.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
case_0011,case,,10.1107/s1600536811022574,21837091,PMC3151795,"Acta crystallographica. Section E, Structure reports online",1600-5368,2011,2011-09-14,Error in Data;,True,CC-BY,1,,data/full_text/PMC3151795.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0021,control,case_0011,10.1107/s1600536812047605,23468736,PMC3588771,"Acta crystallographica. Section E, Structure reports online",1600-5368,2012,,,,CC-BY,1,,data/full_text/PMC3588771.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0022,control,case_0011,10.1107/s1600536812046090,23468747,PMC3588782,"Acta crystallographica. Section E, Structure reports online",1600-5368,2012,,,,CC-BY,1,,data/full_text/PMC3588782.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
case_0012,case,,10.1186/1742-2094-8-101,21846384,PMC3175175,Journal of neuroinflammation,1742-2094,2011,2012-01-23,Error in Data;,True,CC-BY,1,"Rats, Transgenic",data/full_text/PMC3175175.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0023,control,case_0012,10.1186/1742-2094-9-219,22989325,PMC3488572,Journal of neuroinflammation,1742-2094,2012,,,,CC-BY,1,Low-Level Light Therapy,data/full_text/PMC3488572.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0024,control,case_0012,10.1186/1742-2094-9-221,22992301,PMC3546872,Journal of neuroinflammation,1742-2094,2012,,,,CC-BY,1,Analysis of Variance|Animals|Calcium-Binding Proteins|Cell Death|Chemokine CCL2,data/full_text/PMC3546872.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
case_0013,case,,10.1093/ecam/nep149,19789212,PMC3162985,Evidence-based complementary and alternative medicine : eCAM,1741-4288,2011,2011-09-07,Concerns/Issues about Data;Unreliable Data;Unreliable Results and/or Conclusions;,True,CC-BY,1,,data/full_text/PMC3162985.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0025,control,case_0013,10.1155/2012/580736,23304206,PMC3532922,Evidence-based complementary and alternative medicine : eCAM,1741-4288,2012,,,,CC-BY,1,,data/full_text/PMC3532922.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0026,control,case_0013,10.1155/2012/196358,23320023,PMC3540968,Evidence-based complementary and alternative medicine : eCAM,1741-4288,2012,,,,CC-BY,1,,data/full_text/PMC3540968.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
case_0014,case,,10.1186/2045-7022-1-9,22409829,PMC3339402,Clinical and translational allergy,2045-7022,2011,2012-03-16,Error in Analyses;Error in Data;Error in Methods;Original Data and/or Images not Provided and/or not Available;,True,CC-BY,1,,data/full_text/PMC3339402.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0027,control,case_0014,10.1186/2045-7022-1-8,22409776,PMC3339369,Clinical and translational allergy,2045-7022,2011,,,,CC-BY,1,,data/full_text/PMC3339369.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0028,control,case_0014,10.1186/2045-7022-2-1,22409857,PMC3395824,Clinical and translational allergy,2045-7022,2012,,,,CC-BY,1,,data/full_text/PMC3395824.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
case_0015,case,,10.1186/ar3466,21933391,PMC3308080,Arthritis research & therapy,1478-6362,2011,2015-12-09,Falsification/Fabrication of Data;Investigation by Company/Institution;,True,CC-BY,1,"Antibodies, Antinuclear|Arthritis, Rheumatoid|Autoantibodies|Humans|Interleukin-17",data/full_text/PMC3308080.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0029,control,case_0015,10.1186/ar4092,23164197,PMC3674616,Arthritis research & therapy,1478-6362,2012,,,,CC-BY,1,"Adult|Antirheumatic Agents|Arthritis, Rheumatoid|Autoantibodies|C-Reactive Protein",data/full_text/PMC3674616.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
