rule_id,case_fail,case_pass,ctrl_fail,ctrl_pass,case_fail_rate,ctrl_fail_rate,odds_ratio,p_value,bh_fdr_reject
SP004,19,0,33,5,1.0,0.868421052631579,,0.11987802553840311,False
RP003,2,17,1,37,0.10526315789473684,0.02631578947368421,4.352941176470588,0.255194805194805,False
SP001,7,12,11,27,0.3684210526315789,0.2894736842105263,1.4318181818181819,0.37717471870068153,False
RP004,3,16,4,34,0.15789473684210525,0.10526315789473684,1.59375,0.4292232924308418,False
AS001,19,0,36,2,1.0,0.9473684210526315,,0.4404761904761927,False
AS005,19,0,36,2,1.0,0.9473684210526315,,0.4404761904761927,False
PR004,18,1,34,4,0.9473684210526315,0.8947368421052632,2.1176470588235294,0.45483133218982286,False
PR005,17,2,32,6,0.8947368421052632,0.8421052631578947,1.59375,0.460396710208031,False
PR001,16,3,30,8,0.8421052631578947,0.7894736842105263,1.4222222222222223,0.4631081101804293,False
PR002,1,18,1,37,0.05263157894736842,0.02631578947368421,2.0555555555555554,0.559523809523812,False
GC004,17,2,33,5,0.8947368421052632,0.868421052631579,1.2878787878787878,0.5707767075691624,False
GC003,18,1,35,3,0.9473684210526315,0.9210526315789473,1.542857142857143,0.5926406926406934,False
PR003,18,1,35,3,0.9473684210526315,0.9210526315789473,1.542857142857143,0.5926406926406934,False
PR007,11,8,22,16,0.5789473684210527,0.5789473684210527,1.0,0.6135525162396349,False
RP007,11,8,22,16,0.5789473684210527,0.5789473684210527,1.0,0.6135525162396349,False
ES007,19,0,37,1,1.0,0.9736842105263158,,0.6666666666666665,False
RP005,19,0,37,1,1.0,0.9736842105263158,,0.6666666666666665,False
RP006,19,0,37,1,1.0,0.9736842105263158,,0.6666666666666665,False
SP005,19,0,37,1,1.0,0.9736842105263158,,0.6666666666666665,False
PR008,19,0,37,1,1.0,0.9736842105263158,,0.6666666666666665,False
RP001,12,7,25,13,0.631578947368421,0.6578947368421053,0.8914285714285715,0.6904586074579872,False
ES010,18,1,36,2,0.9473684210526315,0.9473684210526315,1.0,0.7448051948051959,False
ES008,18,1,36,2,0.9473684210526315,0.9473684210526315,1.0,0.7448051948051959,False
ES006,18,1,37,1,0.9473684210526315,0.9736842105263158,0.4864864864864865,0.8928571428571471,False
AS007,18,1,37,1,0.9473684210526315,0.9736842105263158,0.4864864864864865,0.8928571428571471,False
AS003,18,1,37,1,0.9473684210526315,0.9736842105263158,0.4864864864864865,0.8928571428571471,False
SP006,14,5,36,2,0.7368421052631579,0.9473684210526315,0.15555555555555556,0.9959097506267347,False
GC005,15,4,37,1,0.7894736842105263,0.9736842105263158,0.10135135135135136,0.9972229028832802,False
SP002,19,0,38,0,1.0,1.0,,1.0,False
SP003,19,0,38,0,1.0,1.0,,1.0,False
AS004,19,0,38,0,1.0,1.0,,1.0,False
AS006,19,0,38,0,1.0,1.0,,1.0,False
AS002,19,0,38,0,1.0,1.0,,1.0,False
ES004,19,0,38,0,1.0,1.0,,1.0,False
PR006,19,0,38,0,1.0,1.0,,1.0,False
ES003,19,0,38,0,1.0,1.0,,1.0,False
ES001,19,0,38,0,1.0,1.0,,1.0,False
ES002,19,0,38,0,1.0,1.0,,1.0,False
GC002,0,19,0,38,0.0,0.0,,1.0,False
GC001,19,0,38,0,1.0,1.0,,1.0,False
ES011,19,0,38,0,1.0,1.0,,1.0,False
ES009,19,0,38,0,1.0,1.0,,1.0,False
ES005,19,0,38,0,1.0,1.0,,1.0,False
RP002,19,0,38,0,1.0,1.0,,1.0,False
AS008,19,0,38,0,1.0,1.0,,1.0,False
