record_id,reason_raw,journal,retraction_doi,original_doi,your_label,notes
54688,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Computational Intelligence and Neuroscience,10.1155/2023/9847139,10.1155/2022/1434599,,
23611,Investigation by Third Party;Paper Mill;Results Not Reproducible;,Journal of Cellular Biochemistry,10.1002/jcb.29799,10.1002/jcb.29024,,
36544,Manipulation of Images;Plagiarism of Image;,Cancer Biomarkers,10.3233/CBM-229004,10.3233/cbm-203023,,
40251,Falsification/Fabrication of Image;Investigation by Company/Institution;,Journal of Biochemistry,10.1093/jb/mvac074,10.1093/jb/mvz016,,
50131,Duplication of/in Image;Error in Image;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,Pharmaceutics,10.3390/pharmaceutics15122654,10.3390/pharmaceutics11120640,,
51146,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Journal of Environmental and Public Health,10.1155/2023/9835194,10.1155/2022/2876474,,
9053,Concerns/Issues about Referencing/Attributions;Error in Text;Legal Reasons and/or Threats;,NEJM: The New England Journal of Medicine,10.1056/NEJMx160005,10.1056/nejmoa1407222,,
42407,Concerns/Issues about Peer Review;Investigation by Journal/Publisher;,Journal of Healthcare Engineering,10.1155/2023/9758367,10.1155/2022/9491439,,
46447,Concerns/Issues about Data;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,Computational Intelligence and Neuroscience,10.1155/2023/9831369,10.1155/2022/2930960,,
24596,Error in Methods;Error in Results and/or Conclusions;,Chemosphere,10.1016/j.chemosphere.2020.128260,10.1016/j.chemosphere.2020.127832,,
31521,Duplication of/in Article;,Medicine,10.1097/MD.0000000000025226,10.1097/md.0000000000020407,,
33267,Concerns/Issues about Results and/or Conclusions;,medRxiv,10.1101/2020.09.15.20195099,10.1101/2020.09.15.20195099,,
26262,Concerns/Issues about Image;Duplication of/in Image;,American Journal of Respiratory Cell and Molecular Biology,10.1165/rcmb.v64retraction6,10.1165/rcmb.2018-0194oc,,
47190,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Human Subject Welfare;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,Journal of Healthcare Engineering,10.1155/2023/9848793,10.1155/2022/1984145,,
3739,Duplication of Text;,Journal of Clinical Pharmacy and Therapeutics,10.1111/jcpt.12327,10.1111/jcpt.12021,,
34373,Error in Data;Falsification/Fabrication of Data;Falsification/Fabrication of Image;Misconduct by Author;Unreliable Data;,Joint Diseases and Related Surgery (JDRS) (Eklem Hastalıkları ve Cerrahisi),10.52312/jdrs.2021.95,10.52312/jdrs.2021.95,,
2173,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Falsification/Fabrication of Data;Investigation by Company/Institution;Misconduct - Official Investigation(s) and/or Finding(s);,PLoS One,10.1371/journal.pone.0156195,10.1371/journal.pone.0031943,,
36238,Concerns/Issues about Results and/or Conclusions;,Heart & Lung,10.1016/j.hrtlng.2022.03.001,10.1016/j.hrtlng.2021.07.005,,
36731,Euphemisms for Plagiarism;Plagiarism of Image;,Toxicology Research,10.1007/s43188-020-00081-y,10.1007/s43188-020-00081-y,,
44855,Duplication of/in Image;Lack of IRB/IACUC Approval and/or Compliance;Original Data and/or Images not Provided and/or not Available;Unreliable Data;,Cardiovascular Toxicology,10.1007/s12012-023-09796-4,10.1007/s12012-020-09574-6,,
23902,Concerns/Issues about Results and/or Conclusions;Investigation by Journal/Publisher;Updated to Retraction;,Bioscience Reports,10.1042/BSR-20182193_EOC,10.1042/bsr20182193,,
37925,Euphemisms for Plagiarism;Objections by Author(s);Objections by Third Party;Plagiarism of Data;Taken from Dissertation/Thesis;,Computational Intelligence and Neuroscience,10.1155/2022/9818302,10.1155/2021/2030142,,
