record_id,primary_label
54688,ambiguous
23611,ambiguous
36544,nonstat
40251,nonstat
50131,ambiguous
51146,ambiguous
9053,nonstat
42407,nonstat
46447,ambiguous
24596,stat
31521,nonstat
33267,stat
26262,nonstat
47190,ambiguous
3739,nonstat
34373,ambiguous
2173,stat
36238,stat
36731,nonstat
44855,ambiguous
23902,stat
37925,nonstat
60429,ambiguous
49719,stat
34540,stat
49125,ambiguous
43400,nonstat
8105,ambiguous
67439,stat
2932,stat
60416,ambiguous
45447,ambiguous
4124,stat
60742,ambiguous
42433,nonstat
5491,stat
48483,ambiguous
41449,nonstat
19732,ambiguous
60465,ambiguous
51308,nonstat
45804,ambiguous
36029,ambiguous
17563,stat
50956,ambiguous
59654,ambiguous
24963,stat
56130,ambiguous
17490,stat
21903,stat
24140,nonstat
16233,stat
43217,nonstat
24741,stat
1827,ambiguous
20612,stat
1305,nonstat
17989,stat
55643,ambiguous
39529,nonstat
58024,ambiguous
60229,ambiguous
60947,ambiguous
8321,nonstat
25498,stat
17992,stat
45131,stat
8588,nonstat
48628,stat
23949,stat
55637,ambiguous
34611,ambiguous
24976,ambiguous
413,nonstat
21016,nonstat
46803,ambiguous
35336,ambiguous
14325,nonstat
23026,nonstat
56629,ambiguous
44400,nonstat
35655,ambiguous
55714,ambiguous
50464,stat
19806,stat
43718,nonstat
717,nonstat
48174,ambiguous
32302,nonstat
27259,nonstat
37713,nonstat
43197,nonstat
40415,stat
8628,nonstat
24525,nonstat
27253,nonstat
958,nonstat
23410,stat
23498,stat
49937,nonstat
481,stat
19921,nonstat
38141,nonstat
45950,ambiguous
35251,ambiguous
39037,stat
46229,ambiguous
17446,stat
27797,stat
22343,stat
12295,stat
49269,ambiguous
36676,stat
48518,ambiguous
4468,stat
4610,nonstat
38303,stat
55933,ambiguous
43510,nonstat
44135,nonstat
48002,ambiguous
61136,ambiguous
22959,nonstat
38172,nonstat
28051,stat
45903,ambiguous
40648,stat
53046,stat
42786,nonstat
56216,ambiguous
26778,stat
23015,nonstat
26402,stat
40118,nonstat
37496,stat
1709,nonstat
5448,nonstat
36691,stat
30368,ambiguous
9757,nonstat
23922,nonstat
45939,ambiguous
23556,stat
26997,ambiguous
6398,stat
47556,stat
8211,stat
7758,nonstat
1585,stat
46839,ambiguous
